epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.68884,1.93856,3.88538,1.77311,0.01133,0.42562,0.11703,0.0638,1.48322,3.19465,1.46315,0.000181836,0.000181836,0.000181836
2,10.0724,1.46568,2.38984,1.40261,0.84516,0.18837,0.21047,0.11819,1.49783,2.17293,1.33953,0.00033082,0.00033082,0.00033082
3,14.2207,1.35099,2.07925,1.32815,0.80709,0.24929,0.27209,0.15154,1.49766,1.87256,1.3413,0.000443108,0.000443108,0.000443108
4,18.4941,1.25114,1.90639,1.26121,0.66642,0.3459,0.31641,0.19392,1.3344,1.58799,1.2595,0.000390868,0.000390868,0.000390868
5,22.6458,1.22455,1.78309,1.22557,0.72372,0.3952,0.36521,0.2273,1.2973,1.57329,1.20095,0.000335824,0.000335824,0.000335824
6,26.909,1.16203,1.6983,1.18944,0.65897,0.41238,0.4297,0.27255,1.24488,1.51397,1.20086,0.00028078,0.00028078,0.00028078
7,31.1765,1.10169,1.60153,1.17297,0.70139,0.46639,0.45561,0.2934,1.23417,1.48554,1.17205,0.000225736,0.000225736,0.000225736
8,35.37,1.04163,1.48808,1.14156,0.65909,0.47989,0.50588,0.3333,1.20231,1.45362,1.15478,0.000170692,0.000170692,0.000170692
9,39.6022,1.01949,1.47052,1.12918,0.68878,0.46077,0.50739,0.34597,1.14395,1.39542,1.13118,0.000115648,0.000115648,0.000115648
10,43.8583,0.98433,1.39577,1.10753,0.73014,0.47263,0.53461,0.36011,1.13112,1.38236,1.11587,6.0604e-05,6.0604e-05,6.0604e-05
