epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.63871,1.34137,2.5096,1.40001,0.53784,0.59484,0.57782,0.40633,1.00337,1.69263,1.25937,3.336e-05,3.336e-05,3.336e-05
2,3.11173,1.22916,2.12982,1.33443,0.50017,0.64338,0.58879,0.41908,0.89,1.49312,1.19634,7.21369e-05,7.21369e-05,7.21369e-05
3,4.57961,1.05097,1.7724,1.20775,0.48826,0.66135,0.59858,0.41623,0.91476,1.48657,1.21347,0.00011076,0.00011076,0.00011076
4,6.03561,0.98521,1.53281,1.17169,0.50542,0.65359,0.60007,0.40569,0.95459,1.55193,1.22439,0.000149228,0.000149228,0.000149228
5,7.48127,0.95133,1.38946,1.13745,0.53549,0.64454,0.60984,0.41618,0.96508,1.51763,1.20085,0.000187543,0.000187543,0.000187543
6,8.86012,0.9487,1.31327,1.13433,0.63043,0.65819,0.6391,0.45317,0.93278,1.38946,1.16864,0.000225703,0.000225703,0.000225703
7,10.22,0.90595,1.22644,1.13608,0.69249,0.66109,0.67928,0.5002,0.86945,1.23554,1.12014,0.000263709,0.000263709,0.000263709
8,11.5408,0.93976,1.23163,1.12653,0.61177,0.72864,0.68983,0.50942,0.87776,1.18206,1.12634,0.000301562,0.000301562,0.000301562
9,12.8938,0.84567,1.14883,1.08469,0.61447,0.78306,0.71261,0.53404,0.84,1.09481,1.11071,0.00033926,0.00033926,0.00033926
10,14.2361,0.88292,1.16666,1.09301,0.61285,0.77459,0.723,0.53875,0.84315,1.06928,1.11901,0.000376804,0.000376804,0.000376804
11,15.5562,0.84178,1.09199,1.07728,0.68785,0.74053,0.73052,0.54639,0.81239,1.0289,1.10026,0.000414193,0.000414193,0.000414193
12,16.8893,0.82214,1.10269,1.06347,0.71341,0.72323,0.7542,0.57039,0.77464,0.97156,1.06138,0.000451429,0.000451429,0.000451429
13,18.196,0.80747,1.0254,1.0639,0.69426,0.74505,0.75973,0.57815,0.75827,0.95736,1.04701,0.00048851,0.00048851,0.00048851
14,19.5478,0.80579,1.04134,1.05757,0.69353,0.77893,0.77981,0.59868,0.75517,0.94512,1.03937,0.000525438,0.000525438,0.000525438
