epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43041,1.303,2.2804,1.36059,0.49732,0.5728,0.55173,0.39596,0.86736,1.10103,1.16692,2.78e-05,2.78e-05,2.78e-05
2,2.70496,1.26538,2.32737,1.3374,0.59153,0.56404,0.56232,0.40606,0.82095,1.02204,1.14181,6.10389e-05,6.10389e-05,6.10389e-05
3,3.89686,1.06169,1.74793,1.24413,0.64828,0.53212,0.55229,0.39602,0.84905,1.04698,1.1659,9.41457e-05,9.41457e-05,9.41457e-05
4,4.99985,0.9932,1.61672,1.15602,0.66359,0.51832,0.55364,0.38982,0.86213,1.07119,1.18159,0.00012712,0.00012712,0.00012712
5,6.08932,0.96015,1.44813,1.15347,0.55402,0.55991,0.56363,0.39687,0.85869,1.06796,1.16727,0.000159963,0.000159963,0.000159963
6,7.21031,0.96556,1.34328,1.15038,0.46941,0.62088,0.58148,0.42203,0.84286,1.0155,1.12966,0.000192673,0.000192673,0.000192673
7,8.33448,0.99575,1.38098,1.15473,0.51989,0.66302,0.60752,0.43925,0.83686,0.94107,1.10839,0.000225252,0.000225252,0.000225252
8,9.4389,0.8979,1.25238,1.11061,0.74525,0.63097,0.65135,0.47146,0.81977,0.91124,1.09531,0.000257698,0.000257698,0.000257698
9,10.5592,0.93314,1.28903,1.12731,0.55422,0.80491,0.66731,0.49283,0.80897,0.93358,1.08805,0.000290012,0.000290012,0.000290012
10,11.6541,0.88759,1.20349,1.10974,0.703,0.63398,0.68046,0.49447,0.79119,0.91886,1.07618,0.000322194,0.000322194,0.000322194
11,12.7603,0.88012,1.19593,1.08434,0.59139,0.75261,0.69894,0.49713,0.77964,0.89759,1.06852,0.000354244,0.000354244,0.000354244
12,13.8743,0.86616,1.13741,1.08057,0.63368,0.73402,0.71696,0.51916,0.76651,0.87371,1.04973,0.000386162,0.000386162,0.000386162
13,15.0034,0.86927,1.14176,1.07046,0.68187,0.6949,0.72626,0.53922,0.76524,0.851,1.04238,0.000417948,0.000417948,0.000417948
14,16.1388,0.82797,1.08565,1.0805,0.71887,0.7189,0.74716,0.54909,0.75888,0.85819,1.04069,0.000449602,0.000449602,0.000449602
15,17.2501,0.81079,1.06549,1.06421,0.7354,0.71977,0.76745,0.56825,0.76018,0.86277,1.04221,0.000481123,0.000481123,0.000481123
16,18.3597,0.84083,1.07828,1.08111,0.69668,0.72841,0.73959,0.55311,0.79657,0.91779,1.06794,0.000512512,0.000512512,0.000512512
17,19.425,0.81782,1.06919,1.07026,0.65675,0.74075,0.72776,0.54423,0.80622,0.93639,1.07655,0.000538386,0.000538386,0.000538386
18,20.4957,0.79719,1.02649,1.05828,0.68676,0.72457,0.73643,0.54365,0.8119,0.90498,1.08477,0.000537285,0.000537285,0.000537285
19,21.5795,0.76636,0.96783,1.05013,0.66029,0.77931,0.75245,0.56684,0.78533,0.86894,1.06951,0.000536184,0.000536184,0.000536184
20,22.6548,0.77161,0.9872,1.05219,0.67074,0.78174,0.74556,0.57077,0.74242,0.83959,1.04199,0.000535083,0.000535083,0.000535083
21,23.7599,0.78599,1.01805,1.05865,0.66476,0.77679,0.75223,0.57672,0.7304,0.8273,1.02931,0.000533982,0.000533982,0.000533982
22,24.8819,0.81214,1.04244,1.04824,0.71289,0.76429,0.76673,0.59508,0.71601,0.79488,1.01263,0.000532882,0.000532882,0.000532882
23,25.9649,0.73497,0.91155,1.02403,0.74436,0.7397,0.78548,0.60698,0.72193,0.79188,1.01436,0.000531781,0.000531781,0.000531781
24,27.08,0.7165,0.91568,1.01037,0.76451,0.72949,0.79402,0.61136,0.7174,0.79416,1.02025,0.00053068,0.00053068,0.00053068
25,28.1638,0.7721,0.95076,1.05279,0.7678,0.72761,0.79982,0.61732,0.72318,0.80945,1.02091,0.000529579,0.000529579,0.000529579
26,29.2491,0.73571,0.91217,1.04022,0.77289,0.7457,0.80245,0.62701,0.72348,0.79462,1.02575,0.000528478,0.000528478,0.000528478
27,30.3365,0.74554,0.91882,1.0372,0.77264,0.74604,0.79837,0.61736,0.72143,0.80616,1.02835,0.000527377,0.000527377,0.000527377
28,31.4326,0.72966,0.89593,1.02931,0.74334,0.75259,0.78551,0.60471,0.71439,0.81621,1.02316,0.000526276,0.000526276,0.000526276
29,32.5244,0.72562,0.87007,1.01527,0.74782,0.74566,0.78928,0.60638,0.71431,0.83178,1.02278,0.000525175,0.000525175,0.000525175
30,33.6007,0.71496,0.87944,1.0287,0.74282,0.74281,0.78732,0.60384,0.72563,0.87073,1.02644,0.000524074,0.000524074,0.000524074
