epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,151.715,0.78996,0.78474,1.0324,0.81493,0.75838,0.84361,0.58533,0.99222,0.90421,1.09572,0.000510864,0.000510864,0.000510864
43,155.335,0.76953,0.77142,1.0158,0.83357,0.71596,0.78419,0.55099,0.99091,0.98253,1.08008,0.000509763,0.000509763,0.000509763
44,158.964,0.74857,0.74487,1.00151,0.8278,0.65963,0.78514,0.54374,0.98254,0.9647,1.07364,0.000508662,0.000508662,0.000508662
45,162.582,0.74722,0.72977,0.99956,0.89724,0.6661,0.81254,0.55658,0.97559,0.92614,1.06009,0.000507561,0.000507561,0.000507561
46,166.187,0.75779,0.73463,1.00095,0.93388,0.74422,0.84426,0.60696,0.93679,0.83197,1.04875,0.00050646,0.00050646,0.00050646
47,169.784,0.74245,0.70304,1.00121,0.79332,0.70304,0.79402,0.56388,0.97655,1.00411,1.08907,0.00050536,0.00050536,0.00050536
48,173.383,0.74761,0.7205,0.99862,0.88569,0.73476,0.83855,0.59492,0.93689,0.85604,1.04425,0.000504259,0.000504259,0.000504259
49,177.012,0.74606,0.7178,0.99873,0.88225,0.77219,0.82943,0.59707,0.93864,0.86545,1.05487,0.000503158,0.000503158,0.000503158
50,180.646,0.73186,0.69597,1.00024,0.82096,0.69128,0.80097,0.54711,0.97141,0.96381,1.07476,0.000502057,0.000502057,0.000502057
51,184.305,0.74185,0.70954,0.99007,0.81195,0.71516,0.7965,0.55344,1.02822,1.02505,1.08897,0.000500956,0.000500956,0.000500956
52,187.925,0.72677,0.69318,0.9994,0.79867,0.7445,0.81374,0.56696,0.9848,0.95416,1.0653,0.000499855,0.000499855,0.000499855
53,191.529,0.74945,0.68104,0.99396,0.81038,0.71448,0.7936,0.52437,1.01941,1.02969,1.09708,0.000498754,0.000498754,0.000498754
54,195.138,0.74664,0.71557,1.00232,0.88506,0.73244,0.83351,0.59802,0.91862,0.86959,1.0368,0.000497653,0.000497653,0.000497653
55,198.831,0.71923,0.66701,0.98247,0.78255,0.69722,0.77865,0.54532,0.98375,0.99953,1.07572,0.000496552,0.000496552,0.000496552
56,202.422,0.71288,0.64731,0.9804,0.83982,0.77044,0.85137,0.61887,0.90604,0.85144,1.02301,0.000495452,0.000495452,0.000495452
57,206.088,0.71851,0.65534,0.98446,0.89729,0.70485,0.84017,0.60324,0.9667,0.88317,1.07411,0.000494351,0.000494351,0.000494351
58,209.821,0.72598,0.68846,0.99549,0.77115,0.79264,0.81112,0.58417,0.96012,0.8747,1.07047,0.00049325,0.00049325,0.00049325
59,213.48,0.72084,0.66957,0.98916,0.80466,0.80754,0.83956,0.59909,0.92814,0.8357,1.0451,0.000492149,0.000492149,0.000492149
60,217.085,0.71872,0.65942,0.98877,0.77015,0.76488,0.84211,0.61642,0.92837,0.81726,1.03853,0.000491048,0.000491048,0.000491048
61,220.722,0.73507,0.65156,0.98072,0.86237,0.81811,0.88472,0.64806,0.88935,0.75214,1.01342,0.000489947,0.000489947,0.000489947
62,224.365,0.72555,0.66871,0.99316,0.86211,0.75155,0.83364,0.59262,0.92047,0.78954,1.03057,0.000488846,0.000488846,0.000488846
63,227.973,0.73435,0.75205,0.99573,0.77498,0.82715,0.84616,0.60342,0.91747,0.83227,1.03304,0.000487745,0.000487745,0.000487745
64,231.608,0.72403,0.67336,0.9784,0.84355,0.71369,0.81309,0.57929,0.92873,0.9035,1.02854,0.000486645,0.000486645,0.000486645
65,235.26,0.70544,0.64312,0.98395,0.90746,0.77467,0.86666,0.61014,0.90712,0.80691,1.02197,0.000485544,0.000485544,0.000485544
66,238.935,0.73149,0.66019,0.98572,0.8226,0.73723,0.82503,0.58834,0.92093,0.85059,1.01964,0.000484443,0.000484443,0.000484443
67,242.651,0.70916,0.63972,0.98182,0.87502,0.82613,0.87116,0.62959,0.90012,0.74938,1.01146,0.000483342,0.000483342,0.000483342
68,246.311,0.70338,0.64534,0.98318,0.80144,0.78204,0.84244,0.61588,0.9031,0.80835,1.02666,0.000482241,0.000482241,0.000482241
69,249.903,0.71206,0.64917,0.9762,0.86232,0.74326,0.83936,0.60804,0.92259,0.79256,1.04217,0.00048114,0.00048114,0.00048114
