epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.96036,0.57834,0.43745,0.91279,0.87199,0.7765,0.85495,0.64759,0.79406,0.67513,0.95191,7.228e-05,7.228e-05,7.228e-05
2,7.72654,0.55914,0.42182,0.91265,0.88994,0.76573,0.85019,0.62915,0.80264,0.69381,0.9676,0.000149971,0.000149971,0.000149971
3,11.4874,0.56512,0.42984,0.91043,0.84035,0.77656,0.84718,0.63803,0.80181,0.68329,0.97577,0.000227509,0.000227509,0.000227509
4,15.177,0.59484,0.45256,0.92324,0.84737,0.82464,0.87358,0.64732,0.83812,0.63375,0.97628,0.000304892,0.000304892,0.000304892
5,18.8003,0.57259,0.44234,0.90451,0.91943,0.77851,0.85523,0.64472,0.80069,0.67574,0.95802,0.000382121,0.000382121,0.000382121
6,22.4157,0.57716,0.43989,0.91524,0.86869,0.72394,0.83436,0.60865,0.84165,0.76063,0.98541,0.000459196,0.000459196,0.000459196
7,25.9813,0.59496,0.45476,0.9183,0.85726,0.79183,0.84447,0.63737,0.84235,0.70153,0.98332,0.000536116,0.000536116,0.000536116
8,29.5701,0.59012,0.4545,0.92073,0.83389,0.78723,0.83258,0.61711,0.84166,0.71466,1.00782,0.000552147,0.000552147,0.000552147
9,33.1975,0.57813,0.45057,0.91966,0.7177,0.77143,0.80883,0.58721,0.8744,0.76901,1.0073,0.000551596,0.000551596,0.000551596
10,36.8438,0.59035,0.4573,0.91766,0.85185,0.76613,0.84291,0.61285,0.84247,0.7293,1.00202,0.000551046,0.000551046,0.000551046
11,40.5254,0.60603,0.46298,0.9219,0.80497,0.75919,0.81619,0.60083,0.85718,0.76493,1.01093,0.000550496,0.000550496,0.000550496
12,44.1294,0.61064,0.48083,0.9286,0.79404,0.8187,0.8484,0.60193,0.85436,0.70549,1.00276,0.000549945,0.000549945,0.000549945
13,47.7668,0.60948,0.46827,0.92451,0.81978,0.78522,0.83354,0.59176,0.89143,0.78657,1.02603,0.000549395,0.000549395,0.000549395
14,51.4204,0.63045,0.49141,0.93315,0.83738,0.79002,0.84102,0.60267,0.88558,0.74653,1.02789,0.000548844,0.000548844,0.000548844
15,55.0825,0.60918,0.49529,0.9314,0.8182,0.7717,0.84594,0.612,0.86328,0.75759,1.01234,0.000548294,0.000548294,0.000548294
16,58.7082,0.61038,0.46812,0.93503,0.8259,0.74744,0.81766,0.586,0.8805,0.82407,1.01337,0.000547743,0.000547743,0.000547743
17,62.3503,0.60337,0.47781,0.93513,0.82425,0.80428,0.85685,0.62293,0.82965,0.76976,0.97805,0.000547193,0.000547193,0.000547193
18,66.0449,0.58863,0.46102,0.9231,0.8457,0.75502,0.82998,0.61018,0.81723,0.75336,0.98115,0.000546643,0.000546643,0.000546643
19,69.6617,0.60305,0.45374,0.92453,0.82446,0.74144,0.81366,0.58269,0.86852,0.79692,1.00174,0.000546092,0.000546092,0.000546092
20,73.2506,0.59883,0.47106,0.9222,0.83802,0.73902,0.84008,0.60456,0.84668,0.75559,0.9823,0.000545542,0.000545542,0.000545542
21,76.9013,0.6066,0.47238,0.92598,0.8421,0.75232,0.83815,0.59571,0.88173,0.76012,1.01009,0.000544991,0.000544991,0.000544991
22,80.4954,0.60944,0.47089,0.92627,0.82304,0.7517,0.86233,0.60939,0.89198,0.79974,1.01976,0.000544441,0.000544441,0.000544441
23,84.1224,0.63184,0.51328,0.92858,0.86779,0.82212,0.89053,0.64947,0.85825,0.6667,0.994,0.00054389,0.00054389,0.00054389
24,87.7531,0.61562,0.46653,0.92202,0.838,0.80684,0.86504,0.64476,0.79593,0.68083,0.97119,0.00054334,0.00054334,0.00054334
25,91.3715,0.60314,0.4802,0.92189,0.89802,0.73652,0.86469,0.63885,0.84915,0.69331,0.99209,0.000542789,0.000542789,0.000542789
26,95.0179,0.63139,0.48906,0.9308,0.87911,0.75593,0.85768,0.64548,0.85247,0.76034,0.99167,0.000542239,0.000542239,0.000542239
27,98.6794,0.6046,0.47079,0.9245,0.86485,0.80213,0.86911,0.63156,0.8424,0.71717,0.99924,0.000541689,0.000541689,0.000541689
28,102.262,0.59462,0.47277,0.92436,0.871,0.74403,0.84985,0.60424,0.90006,0.81389,1.0325,0.000541138,0.000541138,0.000541138
29,105.873,0.59052,0.44928,0.92486,0.86716,0.7593,0.86186,0.60683,0.87632,0.75874,1.00932,0.000540588,0.000540588,0.000540588
30,109.528,0.59318,0.48956,0.92264,0.87233,0.78661,0.87104,0.63147,0.83709,0.7061,0.98326,0.000540037,0.000540037,0.000540037
31,113.156,0.60425,0.46638,0.91666,0.87469,0.77133,0.85826,0.62945,0.84786,0.69896,0.99438,0.000539487,0.000539487,0.000539487
32,116.745,0.60833,0.46189,0.92095,0.85526,0.78735,0.84954,0.62264,0.85529,0.69481,0.99946,0.000538936,0.000538936,0.000538936
33,120.418,0.58764,0.45363,0.91789,0.91675,0.76594,0.86502,0.6571,0.82632,0.67395,0.98472,0.000538386,0.000538386,0.000538386
34,124.031,0.60772,0.45161,0.9173,0.88399,0.77545,0.83795,0.65027,0.84666,0.68869,0.984,0.000537835,0.000537835,0.000537835
35,127.687,0.58924,0.45612,0.92089,0.88735,0.77653,0.85286,0.63773,0.80435,0.65316,0.96693,0.000537285,0.000537285,0.000537285
36,131.322,0.59761,0.45058,0.92078,0.88835,0.70806,0.82731,0.59668,0.87502,0.764,1.01097,0.000536735,0.000536735,0.000536735
37,134.931,0.60901,0.45417,0.92422,0.86325,0.74931,0.8375,0.60543,0.90904,0.78237,1.0193,0.000536184,0.000536184,0.000536184
38,138.559,0.62164,0.46878,0.92108,0.86752,0.75925,0.82814,0.60769,0.85343,0.76253,1.00198,0.000535634,0.000535634,0.000535634
39,142.137,0.59269,0.43745,0.91699,0.84254,0.78877,0.85432,0.60558,0.84955,0.72453,0.98207,0.000535083,0.000535083,0.000535083
40,145.672,0.59453,0.44679,0.92207,0.88651,0.74279,0.84698,0.61776,0.82594,0.71318,0.99614,0.000534533,0.000534533,0.000534533
41,149.242,0.60257,0.45759,0.92266,0.90801,0.77864,0.87188,0.63571,0.80746,0.66562,0.98795,0.000533982,0.000533982,0.000533982
42,152.855,0.59825,0.45426,0.92782,0.86723,0.80073,0.86401,0.64944,0.81189,0.66205,0.98297,0.000533432,0.000533432,0.000533432
43,156.401,0.58992,0.44691,0.91999,0.84187,0.75363,0.82777,0.60336,0.87369,0.74929,0.99312,0.000532882,0.000532882,0.000532882
44,159.997,0.59407,0.45824,0.91438,0.83094,0.7345,0.82944,0.61287,0.84193,0.7789,1.00195,0.000532331,0.000532331,0.000532331
45,163.591,0.58422,0.4477,0.9129,0.87899,0.76035,0.86269,0.64662,0.81999,0.7128,0.98456,0.000531781,0.000531781,0.000531781
46,167.19,0.58878,0.45143,0.91754,0.83381,0.75913,0.83359,0.62043,0.83672,0.72618,0.99349,0.00053123,0.00053123,0.00053123
47,170.786,0.59028,0.44016,0.91743,0.85885,0.72858,0.81733,0.59689,0.86029,0.78172,1.02073,0.00053068,0.00053068,0.00053068
48,174.395,0.59111,0.45322,0.91345,0.79022,0.75538,0.81405,0.59413,0.83057,0.76649,0.99399,0.000530129,0.000530129,0.000530129
49,177.981,0.58941,0.46024,0.9154,0.91514,0.76172,0.84061,0.62793,0.82483,0.66778,0.98473,0.000529579,0.000529579,0.000529579
50,181.529,0.59217,0.4504,0.91925,0.89068,0.73856,0.82088,0.59716,0.85605,0.7736,0.99028,0.000529028,0.000529028,0.000529028
51,185.111,0.59379,0.45048,0.91575,0.85628,0.77856,0.8481,0.63406,0.84672,0.67933,0.99654,0.000528478,0.000528478,0.000528478
52,188.625,0.57333,0.43501,0.92568,0.8471,0.71241,0.80805,0.59817,0.84399,0.78537,0.99208,0.000527928,0.000527928,0.000527928
53,192.175,0.59242,0.44664,0.91423,0.83316,0.68626,0.78378,0.58059,0.8732,0.80963,1.01257,0.000527377,0.000527377,0.000527377
54,195.736,0.58341,0.46357,0.92292,0.78631,0.75323,0.81243,0.59897,0.83948,0.75466,0.97845,0.000526827,0.000526827,0.000526827
55,199.272,0.58942,0.44384,0.91326,0.76383,0.75503,0.80138,0.59503,0.82899,0.80694,0.97287,0.000526276,0.000526276,0.000526276
56,202.853,0.58468,0.44331,0.91256,0.88575,0.72914,0.83359,0.63752,0.79969,0.72852,0.96247,0.000525726,0.000525726,0.000525726
57,206.478,0.57453,0.43284,0.91424,0.92463,0.76819,0.87252,0.66774,0.83547,0.66569,0.9753,0.000525175,0.000525175,0.000525175
58,210.08,0.58886,0.46122,0.91872,0.93214,0.789,0.88036,0.65693,0.81255,0.63764,0.99328,0.000524625,0.000524625,0.000524625
59,213.624,0.58306,0.45204,0.91609,0.88465,0.79537,0.88797,0.63551,0.8228,0.67357,0.97422,0.000524074,0.000524074,0.000524074
60,217.161,0.57943,0.4287,0.9184,0.91203,0.73258,0.85978,0.62322,0.80417,0.68486,0.97658,0.000523524,0.000523524,0.000523524
61,220.728,0.59964,0.44401,0.91469,0.87143,0.7864,0.88459,0.62554,0.83855,0.69444,0.98405,0.000522974,0.000522974,0.000522974
62,224.278,0.58389,0.44343,0.91631,0.86293,0.78701,0.88474,0.6409,0.82151,0.66803,0.96792,0.000522423,0.000522423,0.000522423
63,227.831,0.61606,0.47265,0.94034,0.8912,0.75481,0.84954,0.63425,0.80342,0.704,0.97482,0.000521873,0.000521873,0.000521873
64,231.361,0.59789,0.45287,0.91723,0.72659,0.72902,0.79454,0.59136,0.81388,0.77415,0.98097,0.000521322,0.000521322,0.000521322
65,234.917,0.58282,0.44243,0.92165,0.92303,0.76781,0.87622,0.65741,0.82295,0.6632,0.9745,0.000520772,0.000520772,0.000520772
66,238.46,0.5916,0.4571,0.91589,0.90095,0.74576,0.85126,0.62205,0.87267,0.74512,0.99055,0.000520221,0.000520221,0.000520221
67,242.016,0.59247,0.44984,0.91945,0.92325,0.73852,0.82731,0.61545,0.79192,0.70518,0.97395,0.000519671,0.000519671,0.000519671
68,245.622,0.58432,0.44506,0.92337,0.90376,0.7429,0.84596,0.62269,0.8066,0.70689,0.96684,0.000519121,0.000519121,0.000519121
69,249.252,0.57867,0.43093,0.91297,0.83947,0.73753,0.81724,0.61014,0.81485,0.77765,0.97719,0.00051857,0.00051857,0.00051857
70,252.839,0.58105,0.44588,0.91667,0.89621,0.77538,0.86246,0.62932,0.84918,0.69602,1.01569,0.00051802,0.00051802,0.00051802
71,256.432,0.58283,0.44076,0.91533,0.89504,0.74686,0.85017,0.61976,0.83292,0.71818,1.01485,0.000517469,0.000517469,0.000517469
72,260.08,0.56702,0.43301,0.91307,0.89347,0.80471,0.86848,0.65249,0.84105,0.67988,1.00374,0.000516919,0.000516919,0.000516919
73,263.692,0.5754,0.4341,0.91407,0.88045,0.78285,0.86059,0.66126,0.83775,0.67159,0.96812,0.000516368,0.000516368,0.000516368
74,267.261,0.57878,0.44286,0.90941,0.89371,0.74738,0.85252,0.62776,0.82864,0.70073,1.00536,0.000515818,0.000515818,0.000515818
75,270.878,0.5661,0.43061,0.91129,0.86766,0.7687,0.85158,0.63802,0.82022,0.71111,0.98674,0.000515267,0.000515267,0.000515267
76,274.491,0.58148,0.42547,0.90744,0.82673,0.76126,0.83748,0.61978,0.82404,0.72173,0.9792,0.000514717,0.000514717,0.000514717
77,278.089,0.58627,0.43426,0.91376,0.86655,0.74126,0.82813,0.60452,0.81756,0.73376,0.99141,0.000514167,0.000514167,0.000514167
78,281.675,0.57085,0.42925,0.91303,0.87945,0.74738,0.83916,0.61997,0.81807,0.71366,0.97854,0.000513616,0.000513616,0.000513616
79,285.26,0.57186,0.43151,0.90678,0.82034,0.71739,0.80403,0.59175,0.81786,0.76667,0.98461,0.000513066,0.000513066,0.000513066
80,288.861,0.57849,0.44138,0.90718,0.82431,0.7999,0.86437,0.63488,0.81724,0.66724,0.98624,0.000512515,0.000512515,0.000512515
81,292.406,0.58754,0.44355,0.91238,0.83109,0.73659,0.81244,0.55316,0.88735,0.75439,1.00803,0.000511965,0.000511965,0.000511965
